category_type,price_range,products_count,"round(count(*)*100.0/sum(count(*))OVER(PARTITIONBYc.category_type),2)"
Arts_Crafts,0.01~20,21758,74.2
Arts_Crafts,100~200,688,2.35
Arts_Crafts,200+,518,1.77
Arts_Crafts,20~50,4975,16.97
Arts_Crafts,50~100,888,3.03
Arts_Crafts,free(0),497,1.69
Automotive,0.01~20,30586,49.31
Automotive,100~200,4049,6.53
Automotive,200+,2166,3.49
Automotive,20~50,17730,28.58
Automotive,50~100,7136,11.5
Automotive,free(0),365,0.59
Baby_Kids,0.01~20,91350,50.81
Baby_Kids,100~200,3911,2.18
Baby_Kids,200+,1449,0.81
Baby_Kids,20~50,66849,37.18
Baby_Kids,50~100,11766,6.54
Baby_Kids,free(0),4476,2.49
Crafts_Sewing,0.01~20,31480,74.29
Crafts_Sewing,100~200,335,0.79
Crafts_Sewing,200+,132,0.31
Crafts_Sewing,20~50,8275,19.53
Crafts_Sewing,50~100,939,2.22
Crafts_Sewing,free(0),1214,2.86
Electronics,0.01~20,22611,29.34
Electronics,100~200,8513,11.05
Electronics,200+,12764,16.56
Electronics,20~50,20631,26.77
Electronics,50~100,10382,13.47
Electronics,free(0),2169,2.81
Gaming,0.01~20,32625,39.49
Gaming,100~200,2319,2.81
Gaming,200+,1091,1.32
Gaming,20~50,31429,38.04
Gaming,50~100,7087,8.58
Gaming,free(0),8060,9.76
Health_Beauty,0.01~20,12829,72.33
Health_Beauty,100~200,181,1.02
Health_Beauty,200+,34,0.19
Health_Beauty,20~50,3860,21.76
Health_Beauty,50~100,603,3.4
Health_Beauty,free(0),229,1.29
Home_Living,0.01~20,27492,48.49
Home_Living,100~200,2978,5.25
Home_Living,200+,1981,3.49
Home_Living,20~50,18484,32.6
Home_Living,50~100,4915,8.67
Home_Living,free(0),847,1.49
Industrial_Science,0.01~20,20248,65.91
Industrial_Science,100~200,679,2.21
Industrial_Science,200+,301,0.98
Industrial_Science,20~50,7230,23.53
Industrial_Science,50~100,1709,5.56
Industrial_Science,free(0),554,1.8
Jewelry_Accessories,0.01~20,41527,76.01
Jewelry_Accessories,100~200,962,1.76
Jewelry_Accessories,200+,547,1
Jewelry_Accessories,20~50,9350,17.11
Jewelry_Accessories,50~100,2055,3.76
Jewelry_Accessories,free(0),192,0.35
Mens_Fashion,0.01~20,32537,23.06
Mens_Fashion,100~200,18474,13.1
Mens_Fashion,200+,5851,4.15
Mens_Fashion,20~50,55186,39.12
Mens_Fashion,50~100,25824,18.31
Mens_Fashion,free(0),3202,2.27
Others,0.01~20,278665,54.44
Others,100~200,20388,3.98
Others,200+,11588,2.26
Others,20~50,149805,29.27
Others,50~100,42673,8.34
Others,free(0),8727,1.71
Party_Gifts,0.01~20,13543,87.12
Party_Gifts,100~200,14,0.09
Party_Gifts,200+,2,0.01
Party_Gifts,20~50,1901,12.23
Party_Gifts,50~100,62,0.4
Party_Gifts,free(0),24,0.15
Pet_Supplies,0.01~20,9075,69.04
Pet_Supplies,100~200,185,1.41
Pet_Supplies,200+,72,0.55
Pet_Supplies,20~50,2844,21.64
Pet_Supplies,50~100,696,5.3
Pet_Supplies,free(0),272,2.07
Sports_Outdoors,0.01~20,11525,47.01
Sports_Outdoors,100~200,550,2.24
Sports_Outdoors,200+,139,0.57
Sports_Outdoors,20~50,9902,40.39
Sports_Outdoors,50~100,2121,8.65
Sports_Outdoors,free(0),278,1.13
Tools_Hardware,0.01~20,9991,53.31
Tools_Hardware,100~200,837,4.47
Tools_Hardware,200+,330,1.76
Tools_Hardware,20~50,5614,29.96
Tools_Hardware,50~100,1664,8.88
Tools_Hardware,free(0),305,1.63
Toys_Games,0.01~20,24842,55.48
Toys_Games,100~200,762,1.7
Toys_Games,200+,288,0.64
Toys_Games,20~50,15163,33.86
Toys_Games,50~100,2519,5.63
Toys_Games,free(0),1204,2.69
Travel_Bags,0.01~20,14594,61.6
Travel_Bags,100~200,1388,5.86
Travel_Bags,200+,715,3.02
Travel_Bags,20~50,5289,22.32
Travel_Bags,50~100,1550,6.54
Travel_Bags,free(0),157,0.66