category_type,total_products,avg_price,std_deviation,min_price,max_price,coefficient_of_variation,price_range
Electronics,77070,147.24,360.18,0,16468.7,244.62,16468.7
Others,511846,39.46,127.03,0,19731.81,321.95,19731.81
Home_Living,56697,46.05,112.46,0,5498.81,244.23,5498.81
Arts_Crafts,29324,27.81,107.06,0,7599,385.03,7599
Gaming,82611,33.94,104.13,0,10010,306.8,10010
Crafts_Sewing,42375,18.54,101.39,0,19400,547,19400
Mens_Fashion,141074,62.85,88.23,0,5750,140.38,5750
Travel_Bags,23693,40.17,85.28,0,2909.55,212.32,2909.55
Automotive,62032,44.98,78.57,0,4778,174.68,4778
Tools_Hardware,18741,34.97,66.62,0,3487.99,190.49,3487.99
Toys_Games,44778,26.61,57.43,0,7311.46,215.78,7311.46
Jewelry_Accessories,54633,23.4,49.23,0,3600,210.44,3600
Industrial_Science,30721,25.02,46.47,0,2353.03,185.73,2353.03
Baby_Kids,179801,29.02,46.29,0,6023,159.51,6023
Pet_Supplies,13144,22.51,33.02,0,887.41,146.7,887.41
Sports_Outdoors,24515,30.11,32.82,0,799.95,109.02,799.95
Health_Beauty,17736,18.99,21.85,0,399,115.07,399
Party_Gifts,15546,13.96,9.04,0,399,64.76,399